src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.51.60,10.0.121.84,TCP,18422,4458,114,30438,199.52,SYN,Normal
192.168.81.184,10.0.91.109,HTTP,33083,2830,494,218348,27.73,-,Botnet
192.168.111.50,10.0.45.80,TCP,16561,1206,36,10584,9.97,ACK,Normal
192.168.180.202,10.0.244.213,UDP,58249,3451,178,80812,208.28,-,Normal
192.168.15.91,10.0.86.46,HTTP,12698,3030,62,14508,286.7,ACK,Normal
192.168.12.228,10.0.71.98,UDP,4011,6227,997,434692,196.5,SYN,Botnet
192.168.17.225,10.0.55.71,HTTP,37399,5855,126,52290,162.83,-,Normal
192.168.192.28,10.0.130.105,UDP,40244,1602,37,6697,262.01,SYN,Normal
192.168.113.97,10.0.7.170,UDP,54524,4322,599,531912,155.06,FIN,Botnet
192.168.225.63,10.0.177.27,HTTP,35443,4757,823,415615,117.78,-,Botnet
192.168.115.137,10.0.227.181,UDP,52640,3003,25,3525,77.38,SYN,Normal
192.168.70.147,10.0.235.44,UDP,3210,6990,139,30858,57.86,FIN,Normal
192.168.82.57,10.0.221.4,TCP,51090,689,136,46240,185.34,SYN,Normal
192.168.115.189,10.0.86.68,UDP,49454,1738,22,8932,290.12,FIN,Normal
192.168.186.248,10.0.44.187,UDP,36241,1417,411,213309,220.67,PSH,Botnet
192.168.59.224,10.0.93.123,TCP,8261,3951,688,511184,271.83,SYN,Botnet
192.168.38.49,10.0.241.233,ICMP,11029,993,866,292708,3.87,ACK,Botnet
192.168.28.173,10.0.23.117,UDP,59409,432,189,52731,92.83,-,Normal
192.168.132.102,10.0.145.141,TCP,4190,5788,616,195888,291.79,-,Botnet
192.168.237.54,10.0.231.120,UDP,63619,1231,269,181575,148.9,-,Botnet
192.168.66.163,10.0.202.241,ICMP,62006,2573,674,623450,17.59,PSH,Botnet
192.168.71.167,10.0.56.100,TCP,33322,5138,126,6552,88.39,ACK,Normal
192.168.67.115,10.0.120.132,ICMP,36111,4749,544,456960,155.97,ACK,Botnet
192.168.172.8,10.0.142.92,UDP,44661,7346,4,224,180.8,-,Normal
192.168.205.35,10.0.129.24,UDP,8375,6265,344,109736,279.1,PSH,Botnet
192.168.102.125,10.0.90.176,UDP,61078,5716,935,658240,235.37,ACK,Botnet
192.168.176.106,10.0.233.211,ICMP,33501,1896,456,196080,141.35,ACK,Botnet
192.168.91.54,10.0.249.232,TCP,9457,5132,546,451542,211.41,-,Botnet
192.168.36.14,10.0.241.183,UDP,30874,7616,141,36378,124.42,ACK,Normal
192.168.214.179,10.0.231.68,HTTP,47100,7901,249,135456,246.99,PSH,Botnet
192.168.184.11,10.0.82.116,UDP,50528,4266,594,213246,185.04,SYN,Botnet
192.168.61.153,10.0.176.38,UDP,64185,3264,95,15485,32.48,SYN,Normal
192.168.248.16,10.0.251.92,HTTP,14942,4475,634,360112,22.28,-,Botnet
192.168.196.105,10.0.43.129,HTTP,54614,2261,161,59570,49.79,SYN,Normal
192.168.50.165,10.0.102.210,HTTP,59515,6072,104,29848,209.75,FIN,Normal
192.168.133.245,10.0.127.222,UDP,54558,5638,909,292698,239.01,FIN,Botnet
192.168.61.177,10.0.30.77,HTTP,58498,1906,363,226875,194.04,-,Botnet
192.168.185.140,10.0.197.82,ICMP,27294,7874,116,57536,28.4,-,Normal
192.168.243.237,10.0.12.221,UDP,29981,1147,588,204036,70.9,FIN,Botnet
192.168.198.54,10.0.8.43,HTTP,7173,2749,661,222757,20.16,PSH,Botnet
192.168.167.225,10.0.216.228,UDP,32009,7834,66,7920,196.02,ACK,Normal
192.168.238.153,10.0.242.81,HTTP,45286,7072,200,98600,132.65,PSH,Normal
192.168.107.159,10.0.79.88,TCP,21152,4457,719,661480,178.76,ACK,Botnet
192.168.192.215,10.0.63.106,UDP,15886,7740,480,474720,57.39,SYN,Botnet
192.168.198.54,10.0.180.60,TCP,45668,6771,546,220038,146.56,SYN,Botnet
192.168.36.58,10.0.220.211,UDP,26141,3018,207,166428,138.02,ACK,Botnet
192.168.57.74,10.0.22.103,ICMP,65142,659,350,267400,222.65,-,Botnet
192.168.59.82,10.0.134.115,TCP,4932,3768,783,524610,58.63,SYN,Botnet
192.168.239.51,10.0.220.102,UDP,26222,2940,5,1660,172.42,ACK,Normal
192.168.13.252,10.0.28.69,HTTP,1179,1468,198,82170,218.3,-,Normal
192.168.251.108,10.0.112.133,HTTP,48798,7578,181,60454,77.58,FIN,Normal
192.168.163.110,10.0.52.47,UDP,45472,1629,50,13000,101.21,FIN,Normal
192.168.204.70,10.0.123.253,ICMP,53355,6502,534,375936,246.5,PSH,Botnet
192.168.215.254,10.0.46.216,TCP,36088,1972,646,583338,144.28,SYN,Botnet
192.168.138.69,10.0.15.177,UDP,57695,4883,652,359252,190.11,SYN,Botnet
192.168.165.12,10.0.236.41,ICMP,65200,723,34,11798,66.48,ACK,Normal
192.168.221.151,10.0.115.107,UDP,1487,116,25,3550,240.95,FIN,Normal
192.168.212.244,10.0.235.186,TCP,59396,3599,849,297150,224.49,SYN,Botnet
192.168.239.96,10.0.197.24,UDP,16101,216,135,17820,195.17,PSH,Normal
192.168.172.232,10.0.49.116,TCP,64252,5678,611,549900,268.91,FIN,Botnet
192.168.162.144,10.0.137.59,ICMP,59944,6129,150,67650,83.35,PSH,Normal
192.168.94.208,10.0.112.81,ICMP,24213,1937,109,42837,42.28,PSH,Normal
192.168.177.66,10.0.112.230,UDP,36873,3845,874,513038,60.84,-,Botnet
192.168.26.57,10.0.124.177,ICMP,34138,4381,310,263190,47.31,FIN,Botnet
192.168.90.146,10.0.174.59,TCP,33002,4350,62,15624,231.01,SYN,Normal
192.168.7.31,10.0.251.40,TCP,29986,4642,79,15168,78.04,ACK,Normal
