src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.116.189,10.0.106.5,TCP,63458,2168,161,167279,159.33,SYN,Infiltration
192.168.223.180,10.0.110.216,ICMP,1854,3371,177,53808,213.79,-,Normal
192.168.66.202,10.0.121.169,HTTP,30167,2172,154,110110,95.31,FIN,Infiltration
192.168.103.53,10.0.154.143,TCP,26039,3242,74,123062,261.26,ACK,Infiltration
192.168.24.179,10.0.181.235,HTTP,41121,1502,106,42612,142.05,ACK,Normal
192.168.237.186,10.0.50.227,ICMP,47358,5559,21,9723,244.92,PSH,Normal
192.168.77.83,10.0.131.225,UDP,24749,2225,36,7164,43.87,FIN,Normal
192.168.9.74,10.0.21.105,ICMP,6404,3072,217,235445,298.88,FIN,Infiltration
192.168.240.56,10.0.119.109,TCP,58886,5353,151,39411,97.64,SYN,Normal
192.168.194.40,10.0.98.66,HTTP,7643,1826,101,42420,77.09,PSH,Normal
192.168.116.241,10.0.186.108,TCP,14821,6900,156,99996,89.44,ACK,Infiltration
192.168.166.249,10.0.163.107,ICMP,51193,7910,132,208032,157.49,FIN,Infiltration
192.168.28.209,10.0.207.23,ICMP,20131,3963,221,136578,258.5,PSH,Infiltration
192.168.142.186,10.0.243.134,ICMP,49116,7364,47,3243,13.45,PSH,Normal
192.168.2.177,10.0.15.177,ICMP,59584,6682,63,19593,119.41,ACK,Normal
192.168.98.191,10.0.53.6,HTTP,52769,4682,91,54782,70.79,ACK,Infiltration
192.168.234.50,10.0.100.68,HTTP,16012,4566,14,4634,212.07,PSH,Normal
192.168.212.86,10.0.110.245,HTTP,15750,2793,25,2400,195.34,FIN,Normal
192.168.2.116,10.0.29.87,UDP,47590,1299,77,46739,152.11,-,Infiltration
192.168.166.81,10.0.222.95,HTTP,34431,908,53,23373,181.39,FIN,Normal
192.168.171.194,10.0.133.11,UDP,19866,4203,256,360448,152.49,FIN,Infiltration
192.168.137.141,10.0.111.136,HTTP,9301,4774,107,40874,83.71,SYN,Normal
192.168.247.245,10.0.192.204,ICMP,17721,6637,43,13717,148.37,SYN,Normal
192.168.181.96,10.0.81.104,TCP,3681,2557,25,7050,252.65,SYN,Normal
192.168.94.32,10.0.126.219,UDP,51598,4888,120,50520,42.31,FIN,Normal
192.168.27.219,10.0.131.101,HTTP,27554,1365,183,66246,133.86,-,Normal
192.168.37.50,10.0.227.223,ICMP,7394,5619,157,48513,225.57,ACK,Normal
192.168.154.188,10.0.90.75,TCP,7710,2322,193,139732,197.64,SYN,Infiltration
192.168.22.47,10.0.195.82,UDP,23315,3636,71,73272,254.1,SYN,Infiltration
192.168.250.134,10.0.140.230,HTTP,59112,1717,246,278718,165.72,PSH,Infiltration
192.168.62.206,10.0.48.102,ICMP,45083,6322,146,42486,230.83,-,Normal
192.168.206.203,10.0.233.67,UDP,14963,7737,145,180960,89.34,PSH,Infiltration
192.168.107.104,10.0.100.99,TCP,25855,6683,78,25740,168.45,FIN,Normal
192.168.232.75,10.0.184.34,TCP,15749,3314,133,73017,32.96,ACK,Infiltration
