src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.74.114,10.0.97.121,TCP,24557,6157,35,17430,60.22,PSH,Normal
192.168.128.123,10.0.235.23,ICMP,19852,22,55,18205,136.98,PSH,BruteForce
192.168.251.232,10.0.203.234,UDP,38774,3575,42,7812,176.08,FIN,Normal
192.168.132.88,10.0.60.103,HTTP,17033,3817,32,11808,185.02,-,Normal
192.168.209.128,10.0.174.140,HTTP,35350,22,175,65450,104.3,-,BruteForce
192.168.202.197,10.0.221.30,HTTP,64879,2007,139,26132,180.22,-,Normal
192.168.153.215,10.0.4.156,UDP,36701,3761,56,25424,242.54,SYN,Normal
192.168.119.14,10.0.147.204,HTTP,52476,22,134,41004,209.73,ACK,BruteForce
192.168.174.105,10.0.188.95,ICMP,55236,1205,178,12104,134.98,SYN,Normal
192.168.62.65,10.0.111.50,UDP,25036,6671,7,2793,20.92,SYN,Normal
192.168.10.48,10.0.51.104,UDP,6950,1065,27,2970,185.11,SYN,Normal
192.168.231.162,10.0.53.205,HTTP,56560,22,66,28182,167.85,SYN,BruteForce
192.168.67.68,10.0.213.119,ICMP,42208,22,63,20034,195.01,-,BruteForce
192.168.76.76,10.0.127.41,TCP,6012,7203,33,14355,140.51,ACK,Normal
192.168.229.135,10.0.113.91,UDP,17248,22,176,38896,115.0,SYN,BruteForce
192.168.53.20,10.0.217.171,UDP,6879,6515,161,63112,220.52,-,Normal
192.168.7.30,10.0.47.69,TCP,28453,6346,175,86975,284.36,SYN,Normal
192.168.30.6,10.0.109.181,TCP,22281,458,43,6966,282.91,ACK,Normal
192.168.108.73,10.0.54.219,ICMP,38966,6302,51,19941,223.66,ACK,Normal
192.168.199.112,10.0.51.121,HTTP,56817,22,135,30510,269.91,SYN,BruteForce
192.168.101.70,10.0.20.156,ICMP,52840,7042,112,30352,195.07,FIN,Normal
192.168.208.229,10.0.74.149,TCP,58432,22,107,47401,141.88,FIN,BruteForce
192.168.124.97,10.0.20.57,UDP,57970,5735,175,15575,91.47,ACK,Normal
192.168.37.83,10.0.158.228,HTTP,1321,85,199,76814,240.58,PSH,Normal
192.168.73.60,10.0.144.102,UDP,53169,22,155,34410,243.55,SYN,BruteForce
192.168.97.197,10.0.13.164,ICMP,7217,22,95,34200,182.93,PSH,BruteForce
192.168.230.119,10.0.150.216,ICMP,46868,1371,135,12015,64.58,FIN,Normal
192.168.182.170,10.0.221.101,ICMP,21282,22,70,25130,162.13,PSH,BruteForce
192.168.60.93,10.0.152.173,UDP,56969,4445,148,48692,261.07,PSH,Normal
192.168.156.205,10.0.9.118,ICMP,13354,22,102,29988,132.83,-,BruteForce
192.168.224.110,10.0.220.124,UDP,28648,4122,91,19656,59.04,-,Normal
192.168.245.245,10.0.25.15,HTTP,21467,22,155,49600,66.07,ACK,BruteForce
192.168.255.144,10.0.146.35,TCP,44089,6338,74,18352,247.78,-,Normal
192.168.47.100,10.0.157.136,ICMP,31196,6959,66,12738,238.37,SYN,Normal
192.168.189.6,10.0.142.57,UDP,25396,2915,1,409,7.98,ACK,Normal
192.168.108.224,10.0.110.122,TCP,23469,22,83,23157,154.13,PSH,BruteForce
192.168.3.180,10.0.38.126,TCP,47790,3056,38,15428,136.57,FIN,Normal
192.168.228.42,10.0.237.166,UDP,28198,6903,99,5346,119.66,PSH,Normal
192.168.57.133,10.0.72.114,TCP,38930,6980,143,63635,65.54,ACK,Normal
192.168.198.143,10.0.93.192,TCP,55784,8012,187,12529,234.38,SYN,Normal
192.168.246.188,10.0.21.49,HTTP,3810,5578,3,222,214.72,ACK,Normal
192.168.137.230,10.0.21.250,HTTP,59334,587,113,15481,17.18,FIN,Normal
192.168.238.156,10.0.124.151,HTTP,54248,6678,79,11850,78.99,SYN,Normal
192.168.55.56,10.0.162.198,ICMP,29563,22,166,44156,285.48,FIN,BruteForce
192.168.38.218,10.0.106.149,UDP,63253,1453,193,75849,273.33,PSH,Normal
192.168.105.159,10.0.14.47,HTTP,50216,22,175,39025,176.47,FIN,BruteForce
192.168.56.100,10.0.103.10,ICMP,3636,356,132,52800,149.75,-,Normal
192.168.161.171,10.0.87.41,HTTP,58246,1658,38,9196,144.8,FIN,Normal
192.168.225.127,10.0.45.17,ICMP,32214,7470,173,17300,278.39,FIN,Normal
192.168.15.86,10.0.81.115,TCP,13610,7624,64,22080,242.56,FIN,Normal
192.168.175.135,10.0.38.74,ICMP,21520,22,130,57330,113.79,FIN,BruteForce
192.168.9.15,10.0.133.133,ICMP,26849,22,194,70810,202.0,FIN,BruteForce
192.168.198.111,10.0.17.195,ICMP,16827,22,176,76384,110.76,SYN,BruteForce
192.168.40.204,10.0.136.32,ICMP,23541,22,85,19040,144.66,FIN,BruteForce
192.168.249.1,10.0.137.212,HTTP,59702,592,36,4464,48.51,SYN,Normal
192.168.107.177,10.0.102.13,UDP,5771,22,147,32928,265.44,ACK,BruteForce
192.168.44.191,10.0.131.166,ICMP,64177,3048,45,4545,158.27,FIN,Normal
192.168.51.198,10.0.182.144,UDP,64926,22,161,48944,65.29,SYN,BruteForce
192.168.236.69,10.0.117.120,HTTP,46254,22,55,23815,19.57,FIN,BruteForce
192.168.142.227,10.0.135.45,TCP,62168,22,54,17766,205.54,PSH,BruteForce
192.168.203.232,10.0.20.22,UDP,54903,3092,171,85329,198.74,FIN,Normal
192.168.221.188,10.0.220.246,HTTP,41642,22,194,86912,81.09,-,BruteForce
192.168.149.101,10.0.118.60,UDP,13697,22,65,17160,6.55,-,BruteForce
192.168.228.55,10.0.147.17,TCP,31940,22,58,25868,199.74,PSH,BruteForce
192.168.196.96,10.0.7.253,HTTP,37302,22,188,47564,171.01,SYN,BruteForce
192.168.147.44,10.0.60.65,ICMP,64142,22,139,67276,27.51,FIN,BruteForce
192.168.80.43,10.0.83.6,HTTP,62749,393,85,35275,156.1,SYN,Normal
192.168.177.202,10.0.224.71,ICMP,6163,22,148,31524,142.6,PSH,BruteForce
192.168.30.207,10.0.56.159,UDP,22986,22,179,41170,41.3,-,BruteForce
192.168.82.224,10.0.3.59,UDP,43146,22,163,48248,29.85,ACK,BruteForce
192.168.14.77,10.0.4.224,HTTP,35894,7777,14,1162,256.35,FIN,Normal
192.168.186.208,10.0.26.151,TCP,4167,5096,12,2640,135.21,-,Normal
192.168.204.111,10.0.60.53,ICMP,52254,7239,61,28731,3.84,PSH,Normal
192.168.76.215,10.0.218.86,UDP,16447,22,145,38135,254.87,ACK,BruteForce
192.168.121.9,10.0.175.155,ICMP,16847,22,161,64722,268.87,SYN,BruteForce
192.168.144.23,10.0.238.36,UDP,6733,7378,157,67353,166.4,PSH,Normal
192.168.228.110,10.0.176.188,ICMP,43855,22,67,30016,133.31,FIN,BruteForce
192.168.217.121,10.0.131.95,UDP,4408,6656,175,32900,240.42,-,Normal
192.168.135.4,10.0.25.116,UDP,15419,22,132,59136,28.95,PSH,BruteForce
192.168.91.129,10.0.210.70,UDP,33732,22,121,36663,34.25,SYN,BruteForce
192.168.47.172,10.0.12.104,ICMP,3046,22,54,15660,218.3,SYN,BruteForce
192.168.178.9,10.0.79.97,ICMP,57933,3909,149,63027,206.81,-,Normal
192.168.0.99,10.0.53.35,HTTP,40381,7519,100,21500,193.38,ACK,Normal
192.168.216.120,10.0.121.94,ICMP,65339,22,137,59047,130.96,ACK,BruteForce
192.168.61.104,10.0.67.82,ICMP,26670,22,171,37107,199.72,-,BruteForce
192.168.92.164,10.0.27.216,UDP,65166,22,54,20466,128.32,-,BruteForce
192.168.231.133,10.0.165.162,UDP,24347,22,152,55176,247.3,SYN,BruteForce
192.168.150.206,10.0.37.166,HTTP,40041,22,93,38316,278.0,ACK,BruteForce
192.168.62.1,10.0.250.221,TCP,21861,22,71,30601,162.17,-,BruteForce
192.168.131.16,10.0.209.93,UDP,22170,22,191,39155,75.14,FIN,BruteForce
192.168.238.91,10.0.88.43,ICMP,50504,1310,196,10584,257.97,SYN,Normal
192.168.94.113,10.0.231.215,HTTP,1790,22,63,12978,92.35,PSH,BruteForce
192.168.111.183,10.0.239.214,HTTP,42844,6374,10,3430,112.44,-,Normal
192.168.131.168,10.0.101.40,ICMP,24898,5693,63,10584,206.33,SYN,Normal
192.168.126.205,10.0.139.136,HTTP,28857,22,112,46368,72.01,PSH,BruteForce
192.168.87.112,10.0.50.162,ICMP,55727,113,198,58410,185.56,-,Normal
192.168.190.98,10.0.56.78,ICMP,52698,22,138,49266,154.57,SYN,BruteForce
192.168.65.251,10.0.86.140,UDP,54834,22,73,35989,59.58,-,BruteForce
