src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.197.210,10.0.119.139,HTTP,6119,1768,2783,2028807,102.15,FIN,DDoS
192.168.217.68,10.0.178.182,ICMP,25290,4007,130,13000,273.01,ACK,Normal
192.168.153.82,10.0.211.49,ICMP,41388,4242,103,33887,238.55,PSH,Normal
192.168.221.189,10.0.62.207,TCP,6441,3256,88,25344,143.17,PSH,Normal
192.168.213.251,10.0.236.14,TCP,44360,377,34,14892,15.18,FIN,Normal
192.168.157.115,10.0.119.62,ICMP,34279,5752,1676,1949188,74.11,-,DDoS
192.168.99.193,10.0.224.213,ICMP,44018,369,1439,1556998,285.51,FIN,DDoS
192.168.252.138,10.0.194.181,UDP,19076,986,2349,1322487,146.56,PSH,DDoS
192.168.150.5,10.0.69.46,HTTP,39365,7534,1302,1070244,263.17,FIN,DDoS
192.168.102.98,10.0.9.203,UDP,49908,1352,149,25777,126.74,ACK,Normal
192.168.182.223,10.0.74.82,UDP,15143,6239,4897,7134929,269.87,FIN,DDoS
192.168.60.144,10.0.174.201,ICMP,49208,1509,135,51975,53.54,PSH,Normal
192.168.2.141,10.0.184.218,HTTP,1670,2499,37,10878,284.13,ACK,Normal
192.168.190.74,10.0.144.73,TCP,35452,853,4918,7367164,219.71,PSH,DDoS
192.168.239.240,10.0.181.76,UDP,63539,7552,2810,4085740,72.85,FIN,DDoS
192.168.223.51,10.0.221.227,HTTP,16477,1509,54,4806,215.1,ACK,Normal
192.168.63.87,10.0.253.77,UDP,15148,2758,63,18963,241.21,SYN,Normal
192.168.189.80,10.0.34.66,TCP,40078,2420,52,21320,27.06,ACK,Normal
192.168.46.56,10.0.41.146,HTTP,39279,5460,94,41736,109.57,SYN,Normal
192.168.174.150,10.0.181.107,TCP,41398,5952,47,18800,151.17,FIN,Normal
192.168.83.243,10.0.69.52,UDP,19002,342,2756,1898884,105.5,SYN,DDoS
192.168.167.253,10.0.237.118,UDP,47229,7893,2602,3419028,210.32,-,DDoS
192.168.67.105,10.0.8.217,UDP,62580,7048,4831,5000085,183.04,SYN,DDoS
192.168.0.28,10.0.177.84,HTTP,34825,4910,106,48760,51.69,-,Normal
192.168.221.238,10.0.66.2,ICMP,38967,795,2141,2522098,242.92,ACK,DDoS
192.168.124.93,10.0.169.123,ICMP,8635,5682,44,3212,226.82,ACK,Normal
192.168.65.188,10.0.67.81,TCP,47791,4100,15,6390,26.71,SYN,Normal
192.168.119.102,10.0.60.154,TCP,3385,6969,184,89792,295.08,-,Normal
192.168.222.56,10.0.53.116,HTTP,40733,683,4651,5116100,219.49,-,DDoS
192.168.7.15,10.0.50.42,ICMP,39457,848,81,27621,281.87,FIN,Normal
192.168.18.89,10.0.207.242,UDP,32173,7906,2877,3176208,123.91,SYN,DDoS
192.168.217.126,10.0.16.32,UDP,34179,3531,195,27300,85.57,ACK,Normal
192.168.79.195,10.0.23.78,ICMP,29793,3603,143,47190,183.37,SYN,Normal
192.168.91.7,10.0.2.180,UDP,3336,1388,4594,2453196,21.7,FIN,DDoS
192.168.173.254,10.0.100.207,UDP,43838,2917,191,68760,68.86,SYN,Normal
192.168.51.157,10.0.190.20,HTTP,49805,7022,116,52432,218.58,ACK,Normal
192.168.52.81,10.0.141.153,UDP,61097,447,152,65208,136.44,FIN,Normal
192.168.62.193,10.0.182.240,TCP,2165,3913,196,38416,220.61,PSH,Normal
192.168.240.10,10.0.14.116,UDP,20800,711,4193,5656357,288.52,-,DDoS
192.168.126.123,10.0.181.81,UDP,18854,927,1319,1595990,65.84,-,DDoS
192.168.107.124,10.0.12.194,ICMP,38511,1602,2729,3517681,105.0,SYN,DDoS
192.168.100.137,10.0.104.224,HTTP,14440,5435,150,61500,265.78,FIN,Normal
192.168.38.177,10.0.97.32,UDP,34282,7008,2209,3055047,101.87,ACK,DDoS
192.168.92.139,10.0.153.141,UDP,40528,1562,175,71225,32.29,FIN,Normal
192.168.161.191,10.0.151.20,HTTP,2590,738,4457,4907157,67.98,SYN,DDoS
192.168.37.90,10.0.5.121,HTTP,18770,1253,83,27888,97.54,ACK,Normal
192.168.124.225,10.0.211.2,HTTP,59651,1006,102,11832,93.18,SYN,Normal
192.168.83.117,10.0.57.2,ICMP,55004,2129,120,40560,245.61,-,Normal
192.168.100.193,10.0.225.194,ICMP,29502,5000,2379,1772355,39.42,-,DDoS
192.168.196.58,10.0.94.106,HTTP,45398,7359,2865,3145770,280.71,-,DDoS
192.168.1.200,10.0.7.174,HTTP,33092,2349,197,74663,212.47,ACK,Normal
192.168.243.30,10.0.34.196,HTTP,13590,7808,3762,1993860,37.28,ACK,DDoS
192.168.33.127,10.0.86.104,HTTP,10030,8057,138,9246,222.3,ACK,Normal
192.168.54.165,10.0.6.225,TCP,30509,1632,129,50052,292.53,ACK,Normal
192.168.163.189,10.0.170.48,TCP,36058,6530,1034,571802,30.61,ACK,DDoS
192.168.234.64,10.0.219.97,UDP,25313,5639,140,41020,71.91,PSH,Normal
192.168.49.108,10.0.121.54,TCP,16533,2649,67,27738,180.44,ACK,Normal
192.168.224.183,10.0.32.43,TCP,26494,2603,3335,3478405,209.09,SYN,DDoS
192.168.25.180,10.0.214.224,UDP,17129,3965,3297,2598036,196.09,FIN,DDoS
192.168.192.189,10.0.90.194,TCP,43018,5943,16,3808,184.35,-,Normal
192.168.186.237,10.0.25.133,TCP,38791,6197,4894,5794496,229.95,PSH,DDoS
192.168.107.145,10.0.163.176,TCP,11763,2676,177,60003,218.02,-,Normal
192.168.77.148,10.0.150.247,ICMP,8570,5366,30,6540,15.38,ACK,Normal
192.168.193.118,10.0.129.154,HTTP,28866,4350,140,52080,268.18,FIN,Normal
192.168.209.103,10.0.75.192,HTTP,29030,6044,34,14552,272.02,SYN,Normal
192.168.27.52,10.0.108.39,ICMP,57648,8067,130,30940,262.37,ACK,Normal
192.168.104.197,10.0.64.222,HTTP,5626,6619,1372,1666980,238.18,ACK,DDoS
192.168.19.167,10.0.154.131,UDP,17348,4810,2614,2438862,120.23,SYN,DDoS
192.168.83.190,10.0.19.165,HTTP,9237,3089,20,3120,259.69,SYN,Normal
192.168.91.234,10.0.86.104,UDP,13507,4271,47,16215,9.89,FIN,Normal
192.168.140.1,10.0.166.196,TCP,30936,1378,132,52404,77.02,-,Normal
192.168.220.110,10.0.252.48,HTTP,8533,3912,1067,1527944,154.34,PSH,DDoS
192.168.154.253,10.0.167.11,UDP,13730,910,4713,5556627,186.95,ACK,DDoS
192.168.178.43,10.0.154.21,TCP,16718,1849,1077,1006995,125.89,SYN,DDoS
192.168.130.166,10.0.125.138,ICMP,28282,6897,187,40953,257.12,PSH,Normal
192.168.78.124,10.0.192.130,ICMP,24096,3168,1941,2434014,30.1,ACK,DDoS
192.168.71.141,10.0.113.110,UDP,36863,8028,4264,5777720,19.69,PSH,DDoS
192.168.25.89,10.0.226.86,UDP,25415,3581,70,5250,64.96,PSH,Normal
192.168.220.208,10.0.85.242,ICMP,10355,6148,3146,2016586,220.88,PSH,DDoS
192.168.196.63,10.0.92.98,TCP,50170,1247,101,19291,205.64,PSH,Normal
192.168.138.18,10.0.188.99,ICMP,43322,7028,1151,842532,157.25,SYN,DDoS
192.168.244.169,10.0.98.156,HTTP,51183,6127,3756,3966336,102.75,FIN,DDoS
192.168.223.69,10.0.139.22,ICMP,3448,1057,84,33012,120.79,FIN,Normal
192.168.92.178,10.0.46.159,ICMP,49898,1707,3193,4757570,217.03,FIN,DDoS
192.168.118.153,10.0.234.145,TCP,36789,4517,2817,2219796,229.73,ACK,DDoS
192.168.67.71,10.0.83.162,TCP,7780,7692,2123,1509453,127.73,SYN,DDoS
192.168.125.186,10.0.230.13,ICMP,28729,892,4787,3796091,290.41,-,DDoS
192.168.2.189,10.0.148.35,UDP,48827,3493,2756,1818960,271.64,ACK,DDoS
192.168.163.218,10.0.242.68,TCP,50257,2398,175,82425,50.11,-,Normal
192.168.43.244,10.0.70.201,TCP,31251,1234,11,1166,284.68,PSH,Normal
192.168.37.56,10.0.200.159,UDP,29392,7611,3154,2028022,236.08,FIN,DDoS
192.168.183.91,10.0.107.184,TCP,36506,4142,73,15768,19.38,PSH,Normal
192.168.38.137,10.0.233.201,UDP,59126,1879,2855,3089110,95.99,FIN,DDoS
192.168.199.48,10.0.102.43,TCP,45264,2429,1860,974640,297.93,PSH,DDoS
192.168.40.77,10.0.81.53,TCP,12003,7214,3922,5094678,217.37,ACK,DDoS
192.168.73.249,10.0.200.54,TCP,37436,5352,1440,967680,76.64,SYN,DDoS
192.168.200.236,10.0.78.168,HTTP,32964,7940,1181,1713631,109.04,PSH,DDoS
192.168.16.6,10.0.90.113,ICMP,24517,5943,3692,4301180,151.06,ACK,DDoS
