src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.239.52,10.0.26.6,HTTP,25121,80,893,183065,264.21,FIN,DoS Slowloris
192.168.206.216,10.0.143.121,HTTP,51917,80,1243,299563,128.54,-,DoS Slowloris
192.168.118.47,10.0.193.75,HTTP,49476,4340,75,6900,57.76,-,Normal
192.168.220.248,10.0.129.50,HTTP,64409,80,804,205824,149.03,PSH,DoS Slowloris
192.168.110.115,10.0.71.15,HTTP,44939,80,1285,643785,213.52,PSH,DoS Slowloris
192.168.209.172,10.0.175.89,HTTP,53220,80,1170,288990,50.57,ACK,DoS Slowloris
192.168.222.226,10.0.68.179,HTTP,33634,3531,174,52896,193.34,ACK,Normal
192.168.116.34,10.0.216.84,HTTP,54983,80,871,518245,244.19,PSH,DoS Slowloris
192.168.27.131,10.0.203.117,ICMP,7985,2479,123,27306,255.45,PSH,Normal
192.168.235.6,10.0.24.107,HTTP,16866,80,879,455322,44.19,ACK,DoS Slowloris
192.168.80.113,10.0.38.63,HTTP,26450,80,813,358533,68.2,FIN,DoS Slowloris
192.168.250.52,10.0.84.239,HTTP,32620,6238,48,7056,118.42,PSH,Normal
192.168.68.237,10.0.81.11,HTTP,38510,80,799,431460,248.06,ACK,DoS Slowloris
192.168.238.242,10.0.188.21,UDP,34212,537,151,45753,211.58,SYN,Normal
192.168.61.70,10.0.165.84,HTTP,20646,3071,102,43860,80.18,SYN,Normal
192.168.211.40,10.0.11.86,HTTP,60374,80,1163,408213,96.3,ACK,DoS Slowloris
192.168.191.253,10.0.224.108,HTTP,32855,80,1250,451250,227.76,-,DoS Slowloris
192.168.211.45,10.0.70.65,TCP,22149,2980,17,2618,231.69,PSH,Normal
192.168.135.24,10.0.11.111,TCP,22931,2788,153,23256,280.54,-,Normal
192.168.110.51,10.0.194.144,UDP,47599,2694,126,32130,208.67,FIN,Normal
192.168.172.41,10.0.104.219,TCP,12070,4739,184,68080,282.0,SYN,Normal
192.168.169.213,10.0.2.250,HTTP,41814,80,836,328548,296.9,FIN,DoS Slowloris
192.168.45.121,10.0.98.73,HTTP,64733,80,862,234464,136.96,ACK,DoS Slowloris
192.168.248.145,10.0.152.189,HTTP,36997,80,1217,340760,188.88,SYN,DoS Slowloris
192.168.99.135,10.0.68.109,HTTP,45853,80,1167,608007,205.94,SYN,DoS Slowloris
192.168.26.135,10.0.217.92,HTTP,55179,80,817,373369,277.67,FIN,DoS Slowloris
192.168.124.89,10.0.154.195,HTTP,53457,1095,56,7448,283.29,-,Normal
192.168.39.7,10.0.95.217,UDP,17767,2072,193,47671,288.25,ACK,Normal
192.168.89.173,10.0.52.167,ICMP,47468,41,29,10382,244.44,SYN,Normal
192.168.143.184,10.0.67.30,HTTP,56591,80,696,315288,6.36,-,DoS Slowloris
192.168.244.49,10.0.36.18,ICMP,53352,7488,3,522,245.36,FIN,Normal
192.168.182.42,10.0.10.128,HTTP,33931,80,1065,328020,92.01,-,DoS Slowloris
192.168.147.175,10.0.13.252,TCP,22477,4439,173,81656,62.97,SYN,Normal
192.168.14.224,10.0.231.120,HTTP,58224,80,1101,637479,71.01,ACK,DoS Slowloris
192.168.21.112,10.0.239.54,HTTP,19671,80,718,351820,152.81,-,DoS Slowloris
192.168.95.183,10.0.147.116,HTTP,13506,80,1386,598752,138.08,ACK,DoS Slowloris
192.168.25.131,10.0.239.44,HTTP,3702,80,1110,594960,90.4,FIN,DoS Slowloris
192.168.174.129,10.0.135.133,ICMP,17897,6888,103,25441,60.94,ACK,Normal
192.168.74.87,10.0.103.73,UDP,19248,6355,104,11024,180.94,FIN,Normal
192.168.243.236,10.0.168.83,ICMP,14407,3219,128,15360,170.2,PSH,Normal
192.168.160.19,10.0.137.23,HTTP,20548,80,1483,768194,133.92,PSH,DoS Slowloris
192.168.226.34,10.0.48.13,HTTP,16609,80,1011,458994,282.32,PSH,DoS Slowloris
192.168.219.211,10.0.165.194,HTTP,48677,80,1345,673845,137.28,FIN,DoS Slowloris
192.168.220.201,10.0.134.187,ICMP,38574,2638,14,2114,294.52,SYN,Normal
192.168.169.86,10.0.173.49,HTTP,23313,80,861,239358,206.79,FIN,DoS Slowloris
192.168.116.21,10.0.60.183,ICMP,42480,7451,149,8791,189.18,SYN,Normal
192.168.56.90,10.0.88.35,HTTP,3630,80,1222,729534,82.26,FIN,DoS Slowloris
192.168.58.155,10.0.44.18,HTTP,33389,80,1238,661092,46.57,PSH,DoS Slowloris
192.168.4.192,10.0.172.165,HTTP,18406,80,1432,859200,161.32,SYN,DoS Slowloris
192.168.211.237,10.0.6.6,HTTP,15260,80,1493,347869,109.76,PSH,DoS Slowloris
192.168.180.120,10.0.107.179,TCP,10893,7487,107,14338,220.85,PSH,Normal
192.168.245.70,10.0.6.236,HTTP,55962,80,1382,652304,41.11,PSH,DoS Slowloris
192.168.46.102,10.0.240.175,HTTP,4114,148,181,10317,217.33,FIN,Normal
192.168.200.76,10.0.13.1,HTTP,65071,80,592,349280,123.78,FIN,DoS Slowloris
192.168.160.242,10.0.111.12,HTTP,39580,80,822,365790,165.52,PSH,DoS Slowloris
192.168.1.5,10.0.10.8,HTTP,36152,80,1404,612144,292.28,FIN,DoS Slowloris
192.168.96.170,10.0.206.60,HTTP,20314,80,839,374194,165.78,-,DoS Slowloris
192.168.31.117,10.0.253.134,HTTP,32452,80,686,351232,126.71,SYN,DoS Slowloris
192.168.220.31,10.0.203.13,HTTP,1948,80,1252,485776,140.97,FIN,DoS Slowloris
192.168.201.251,10.0.29.65,TCP,29643,2645,70,12320,166.43,FIN,Normal
192.168.164.80,10.0.102.210,TCP,26430,4081,141,54849,157.45,ACK,Normal
192.168.175.141,10.0.34.110,HTTP,50097,80,548,176456,227.73,-,DoS Slowloris
192.168.145.158,10.0.146.87,HTTP,1145,80,1190,546210,49.17,SYN,DoS Slowloris
192.168.187.217,10.0.140.151,TCP,10201,2682,184,90712,102.36,-,Normal
192.168.28.100,10.0.86.91,HTTP,37324,2423,85,20740,102.57,PSH,Normal
192.168.47.194,10.0.206.254,TCP,26755,7004,134,27470,63.56,FIN,Normal
192.168.62.241,10.0.18.34,HTTP,30509,80,1280,638720,19.73,PSH,DoS Slowloris
192.168.236.72,10.0.167.81,TCP,45347,379,54,15336,82.02,FIN,Normal
192.168.168.106,10.0.237.80,HTTP,25109,80,919,263753,266.48,-,DoS Slowloris
192.168.48.181,10.0.206.219,UDP,32927,7449,91,21931,235.2,-,Normal
192.168.226.133,10.0.95.95,UDP,2051,1250,44,8756,243.12,ACK,Normal
192.168.174.185,10.0.152.230,HTTP,56342,80,1246,611786,132.67,-,DoS Slowloris
192.168.144.101,10.0.212.103,UDP,43810,6647,37,3996,78.01,ACK,Normal
