src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.125.128,10.0.209.149,TCP,31276,443,25,52000,26.52,FIN,Heartbleed
192.168.184.77,10.0.177.47,TCP,41363,443,49,136759,151.63,-,Heartbleed
192.168.219.198,10.0.74.135,ICMP,14603,6638,183,60573,50.36,FIN,Normal
192.168.251.150,10.0.143.73,TCP,27434,443,35,91875,20.64,-,Heartbleed
192.168.102.67,10.0.203.58,TCP,29994,443,14,24038,48.31,-,Heartbleed
192.168.187.242,10.0.166.232,UDP,58502,172,73,15403,211.18,-,Normal
192.168.117.61,10.0.103.104,TCP,45796,6085,184,64584,116.98,PSH,Normal
192.168.220.31,10.0.80.48,TCP,32650,443,14,28182,44.36,ACK,Heartbleed
192.168.172.5,10.0.208.160,TCP,35618,443,15,33255,63.28,FIN,Heartbleed
192.168.12.105,10.0.114.139,TCP,49474,443,16,26768,288.87,-,Heartbleed
192.168.14.34,10.0.212.80,TCP,13368,443,39,68601,67.64,FIN,Heartbleed
192.168.45.219,10.0.5.216,ICMP,43975,5620,27,9207,169.2,-,Normal
192.168.222.103,10.0.91.85,UDP,64929,6022,87,23925,115.14,FIN,Normal
192.168.94.254,10.0.218.177,TCP,19385,5100,12,1836,209.5,ACK,Normal
192.168.87.157,10.0.174.75,TCP,54462,443,34,71298,25.29,PSH,Heartbleed
192.168.170.46,10.0.213.61,TCP,26607,443,22,53856,175.66,-,Heartbleed
192.168.152.201,10.0.95.182,TCP,47988,443,25,42075,95.54,SYN,Heartbleed
192.168.77.61,10.0.222.116,TCP,46916,443,46,52348,67.84,-,Heartbleed
192.168.196.188,10.0.234.108,TCP,17920,443,10,11530,103.09,FIN,Heartbleed
192.168.159.239,10.0.101.50,UDP,64959,5182,30,13350,56.54,-,Normal
192.168.108.69,10.0.194.33,TCP,36123,443,42,116172,208.73,FIN,Heartbleed
192.168.93.111,10.0.34.165,TCP,41208,443,29,36743,107.45,ACK,Heartbleed
192.168.184.192,10.0.237.121,ICMP,61089,122,189,47439,164.19,FIN,Normal
192.168.12.20,10.0.35.254,UDP,55602,7465,188,67116,257.82,PSH,Normal
192.168.237.61,10.0.183.219,TCP,62701,443,42,83412,147.68,-,Heartbleed
192.168.150.249,10.0.36.82,TCP,24819,443,27,51408,120.68,PSH,Heartbleed
192.168.182.104,10.0.220.190,TCP,36846,443,21,47082,115.96,ACK,Heartbleed
192.168.227.104,10.0.186.19,TCP,39703,443,35,94605,200.06,PSH,Heartbleed
192.168.8.158,10.0.158.84,TCP,54475,2293,31,14260,237.31,SYN,Normal
192.168.209.1,10.0.180.50,ICMP,53323,2940,1,154,282.61,FIN,Normal
192.168.62.80,10.0.152.162,ICMP,29786,6271,103,35535,11.51,FIN,Normal
192.168.227.56,10.0.156.68,HTTP,6936,7015,50,14050,259.88,FIN,Normal
192.168.112.211,10.0.5.196,TCP,41870,443,43,45795,171.09,SYN,Heartbleed
192.168.153.80,10.0.98.37,TCP,28792,443,15,32880,179.72,-,Heartbleed
192.168.5.206,10.0.174.232,TCP,26531,443,36,63900,194.01,ACK,Heartbleed
192.168.46.138,10.0.221.207,UDP,17752,6081,197,58312,105.82,PSH,Normal
192.168.86.202,10.0.97.20,UDP,30386,3800,63,15246,112.6,-,Normal
192.168.243.163,10.0.123.135,TCP,29684,443,34,57528,122.85,SYN,Heartbleed
192.168.165.94,10.0.94.211,TCP,8130,3366,18,8388,2.85,ACK,Normal
192.168.233.197,10.0.107.234,UDP,15362,5216,126,62622,282.08,PSH,Normal
192.168.69.153,10.0.55.242,TCP,62009,443,35,35595,107.87,SYN,Heartbleed
192.168.180.54,10.0.166.149,UDP,48168,1284,90,19440,127.67,ACK,Normal
192.168.252.173,10.0.193.140,TCP,12683,443,36,61308,109.07,PSH,Heartbleed
192.168.8.239,10.0.14.202,TCP,9165,7487,21,5943,254.15,FIN,Normal
192.168.105.24,10.0.200.141,TCP,46548,443,48,99312,186.99,-,Heartbleed
192.168.232.214,10.0.66.31,TCP,9739,443,10,24500,284.28,FIN,Heartbleed
192.168.60.190,10.0.205.101,TCP,2501,443,34,38658,204.68,SYN,Heartbleed
192.168.100.2,10.0.130.89,TCP,7600,443,38,49286,195.4,SYN,Heartbleed
192.168.173.108,10.0.120.13,ICMP,16891,5433,28,9996,260.74,-,Normal
192.168.131.81,10.0.94.96,HTTP,27576,1018,123,52521,270.26,SYN,Normal
192.168.105.239,10.0.112.144,ICMP,61650,5617,45,6480,217.44,ACK,Normal
192.168.96.151,10.0.36.234,HTTP,38245,4154,168,16968,12.32,-,Normal
192.168.110.39,10.0.169.5,TCP,41001,443,21,25305,256.17,PSH,Heartbleed
192.168.235.162,10.0.218.249,TCP,30256,443,26,45968,258.17,-,Heartbleed
192.168.43.78,10.0.249.46,TCP,63010,443,42,61698,69.87,PSH,Heartbleed
192.168.216.232,10.0.233.61,TCP,19579,443,30,77100,131.33,-,Heartbleed
192.168.133.52,10.0.33.71,TCP,42255,443,38,91732,71.21,-,Heartbleed
192.168.252.246,10.0.230.58,UDP,5691,5609,186,34224,88.37,FIN,Normal
192.168.34.3,10.0.31.85,TCP,46896,443,26,44954,26.66,-,Heartbleed
192.168.22.178,10.0.180.249,ICMP,45573,6905,76,23940,89.68,-,Normal
192.168.88.145,10.0.32.186,TCP,3079,3610,29,10527,95.84,-,Normal
192.168.240.192,10.0.189.65,TCP,52462,443,35,48125,183.02,-,Heartbleed
192.168.99.233,10.0.193.49,ICMP,3084,5884,80,19280,208.19,PSH,Normal
192.168.82.31,10.0.129.194,TCP,18244,443,38,108338,85.22,SYN,Heartbleed
192.168.125.214,10.0.98.163,TCP,38281,471,159,54219,83.18,FIN,Normal
192.168.100.4,10.0.224.84,TCP,36301,68,5,1345,203.01,ACK,Normal
