src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.186.90,10.0.226.77,UDP,60337,1607,184,27968,67.9,ACK,Normal
192.168.218.75,10.0.13.132,HTTP,19092,535,14,532,163.86,SYN,PortScan
192.168.248.113,10.0.224.12,HTTP,64179,998,8,528,250.14,-,PortScan
192.168.173.38,10.0.55.166,HTTP,13835,5694,89,9701,120.73,PSH,Normal
192.168.196.174,10.0.103.46,TCP,28309,628,3,120,250.89,SYN,PortScan
192.168.40.201,10.0.160.214,UDP,36649,7065,26,6240,256.14,SYN,Normal
192.168.28.47,10.0.48.6,HTTP,17430,6583,20,1240,178.72,PSH,Normal
192.168.122.151,10.0.112.184,UDP,59740,291,1,92,54.11,ACK,PortScan
192.168.236.65,10.0.86.251,HTTP,37609,3142,184,25024,265.12,ACK,Normal
192.168.2.182,10.0.29.49,ICMP,54987,729,8,432,151.83,-,PortScan
192.168.137.164,10.0.128.211,ICMP,35480,587,12,852,215.03,ACK,PortScan
192.168.164.206,10.0.133.129,UDP,19754,7244,118,58764,84.36,SYN,Normal
192.168.197.196,10.0.219.74,ICMP,19749,619,13,585,191.84,ACK,PortScan
192.168.21.149,10.0.177.195,UDP,37509,980,43,12470,153.95,SYN,Normal
192.168.134.60,10.0.206.14,ICMP,24189,5080,53,15211,272.34,SYN,Normal
192.168.110.101,10.0.87.64,HTTP,29504,6474,97,43844,209.7,FIN,Normal
192.168.0.197,10.0.33.11,UDP,9115,7936,182,36400,113.9,PSH,Normal
192.168.222.234,10.0.65.203,ICMP,29006,7641,75,26550,21.28,ACK,Normal
192.168.57.153,10.0.228.155,HTTP,64323,107,11,561,260.71,-,PortScan
192.168.189.75,10.0.42.129,HTTP,18751,11,4,140,91.58,SYN,PortScan
192.168.186.115,10.0.139.89,UDP,49319,6354,30,8040,113.59,-,Normal
192.168.79.6,10.0.75.33,TCP,58336,587,15,1425,77.6,-,PortScan
192.168.66.163,10.0.109.8,TCP,39059,426,3,66,285.88,SYN,PortScan
192.168.245.172,10.0.217.29,TCP,54965,693,5,345,54.03,ACK,PortScan
192.168.25.18,10.0.226.161,UDP,16612,1426,172,62608,277.8,FIN,Normal
192.168.201.114,10.0.199.75,HTTP,56199,4438,59,22361,228.88,PSH,Normal
192.168.4.167,10.0.248.251,UDP,49346,4521,41,18942,235.53,FIN,Normal
192.168.94.15,10.0.142.171,ICMP,55645,1632,48,4368,31.69,-,Normal
192.168.10.227,10.0.168.161,UDP,33845,866,2,92,177.95,PSH,PortScan
192.168.48.108,10.0.25.201,HTTP,33910,7352,41,8241,168.75,ACK,Normal
192.168.24.108,10.0.166.168,ICMP,27064,1676,70,21000,264.15,ACK,Normal
192.168.104.121,10.0.194.44,HTTP,14115,925,10,580,58.27,-,PortScan
192.168.46.18,10.0.48.85,UDP,25538,169,1,69,192.73,PSH,PortScan
192.168.11.194,10.0.191.159,ICMP,21586,71,19,1596,273.49,SYN,PortScan
192.168.211.120,10.0.195.140,ICMP,57322,1768,117,31941,118.62,PSH,Normal
192.168.66.23,10.0.124.103,HTTP,56385,3419,55,9955,69.28,FIN,Normal
192.168.154.179,10.0.61.229,TCP,36394,247,2,126,23.81,FIN,PortScan
192.168.78.106,10.0.105.72,HTTP,41579,547,18,1026,83.39,-,PortScan
192.168.8.109,10.0.225.247,UDP,10677,2999,49,14896,233.36,ACK,Normal
192.168.84.219,10.0.53.35,ICMP,17498,1337,84,28812,232.19,-,Normal
192.168.169.12,10.0.8.251,ICMP,21503,487,17,1224,190.0,ACK,PortScan
192.168.207.108,10.0.188.27,HTTP,4147,1820,136,56984,207.15,FIN,Normal
192.168.185.149,10.0.125.152,TCP,63020,7666,70,7210,99.17,ACK,Normal
192.168.104.74,10.0.56.248,HTTP,52651,773,18,1026,155.76,-,PortScan
192.168.21.143,10.0.122.131,HTTP,19251,62,5,495,77.93,ACK,PortScan
192.168.225.101,10.0.215.173,TCP,50907,288,9,621,145.06,FIN,PortScan
192.168.81.213,10.0.66.174,ICMP,42389,377,6,462,24.36,PSH,PortScan
192.168.84.36,10.0.148.150,TCP,48380,582,28,5992,17.41,SYN,Normal
192.168.61.8,10.0.34.128,HTTP,41654,470,71,24566,36.68,SYN,Normal
192.168.98.125,10.0.169.92,ICMP,35039,899,3,261,212.85,-,PortScan
192.168.107.124,10.0.185.173,HTTP,54090,208,53,5247,74.39,FIN,Normal
192.168.157.90,10.0.28.13,HTTP,62713,64,14,812,124.84,-,PortScan
192.168.106.165,10.0.220.210,UDP,55447,3340,155,20615,127.0,ACK,Normal
192.168.193.103,10.0.78.190,HTTP,13818,894,179,43497,128.73,-,Normal
192.168.240.197,10.0.27.214,HTTP,33884,6048,30,9120,213.8,SYN,Normal
192.168.253.185,10.0.239.42,UDP,26658,244,16,432,241.11,PSH,PortScan
192.168.31.139,10.0.34.12,TCP,3238,2637,111,52170,264.38,FIN,Normal
192.168.250.34,10.0.228.102,ICMP,37861,3603,53,10282,175.46,ACK,Normal
192.168.191.97,10.0.64.124,TCP,5599,6884,183,84363,81.92,FIN,Normal
192.168.60.86,10.0.190.50,TCP,44722,731,10,850,277.0,FIN,PortScan
192.168.79.120,10.0.188.146,TCP,40485,5734,60,20820,145.01,-,Normal
192.168.150.192,10.0.179.65,HTTP,24334,4858,147,43365,170.29,PSH,Normal
192.168.47.147,10.0.245.52,TCP,49899,339,15,1500,229.01,PSH,PortScan
192.168.173.53,10.0.113.233,UDP,17306,4002,128,32000,40.34,FIN,Normal
192.168.89.41,10.0.223.82,ICMP,32311,912,14,602,212.31,PSH,PortScan
192.168.159.67,10.0.105.219,TCP,12785,5988,65,22035,242.55,SYN,Normal
192.168.96.27,10.0.40.76,ICMP,46933,416,1,24,208.17,SYN,PortScan
192.168.193.101,10.0.139.232,ICMP,64762,6484,163,14181,101.27,SYN,Normal
192.168.124.198,10.0.250.156,HTTP,17966,970,6,126,95.09,-,PortScan
192.168.153.55,10.0.205.40,HTTP,54860,439,15,450,276.9,SYN,PortScan
192.168.142.5,10.0.36.135,UDP,51025,39,20,1100,117.87,ACK,PortScan
192.168.32.54,10.0.92.213,UDP,61219,89,92,21620,17.47,FIN,Normal
192.168.233.22,10.0.214.253,UDP,16843,811,2,136,113.23,PSH,PortScan
192.168.48.225,10.0.43.94,HTTP,64576,93,3,276,233.83,-,PortScan
192.168.154.209,10.0.188.247,UDP,39304,2182,127,41021,277.66,-,Normal
192.168.145.63,10.0.177.193,UDP,14519,839,23,2645,62.97,SYN,Normal
192.168.143.233,10.0.99.245,UDP,24028,3541,34,7378,115.94,SYN,Normal
192.168.104.201,10.0.210.49,HTTP,3334,598,19,1786,132.07,SYN,PortScan
192.168.144.139,10.0.112.89,ICMP,52694,2536,25,6300,107.48,-,Normal
192.168.203.161,10.0.71.144,HTTP,22249,1540,62,26536,48.72,FIN,Normal
192.168.92.162,10.0.207.165,ICMP,49808,517,10,770,258.85,FIN,PortScan
192.168.164.34,10.0.98.254,HTTP,34403,8072,36,10476,291.85,-,Normal
192.168.80.204,10.0.101.167,TCP,40134,299,7,140,66.25,PSH,PortScan
192.168.214.166,10.0.217.40,ICMP,12070,766,17,1122,29.0,-,PortScan
