src_ip,dst_ip,protocol,src_port,dst_port,packets,bytes,duration,flags,attack_type
192.168.82.159,10.0.146.32,HTTP,44574,1653,85,25330,64.64,FIN,Normal
192.168.165.60,10.0.50.40,UDP,9747,4865,19,2774,169.15,FIN,Normal
192.168.151.253,10.0.92.39,HTTP,61244,80,34,18870,121.68,PSH,XSS
192.168.141.122,10.0.33.64,HTTP,24896,4996,6,720,9.88,PSH,Normal
192.168.206.215,10.0.130.115,HTTP,6152,80,17,24395,250.4,SYN,XSS
192.168.139.173,10.0.70.230,TCP,20857,3804,189,14931,265.21,PSH,Normal
192.168.121.84,10.0.143.63,HTTP,34960,7139,157,37209,31.5,-,Normal
192.168.115.66,10.0.117.172,HTTP,9217,80,17,16898,80.12,SYN,XSS
192.168.59.88,10.0.67.238,ICMP,24416,2768,200,13400,274.51,-,Normal
192.168.104.90,10.0.149.183,TCP,48172,1986,164,20500,143.6,ACK,Normal
192.168.144.173,10.0.200.54,HTTP,23185,80,18,17010,162.24,ACK,XSS
192.168.2.112,10.0.112.85,HTTP,33832,1972,193,28757,64.72,PSH,Normal
192.168.93.230,10.0.81.101,HTTP,14496,80,12,17640,152.37,FIN,XSS
192.168.149.132,10.0.14.221,HTTP,50932,80,7,4235,140.37,FIN,XSS
192.168.175.68,10.0.130.89,UDP,59452,4053,37,13135,286.61,-,Normal
192.168.34.92,10.0.127.169,HTTP,5132,80,30,26790,280.21,SYN,XSS
192.168.27.43,10.0.70.53,HTTP,53447,1521,148,65564,42.04,ACK,Normal
192.168.203.233,10.0.58.36,HTTP,19488,80,38,36214,128.59,PSH,XSS
192.168.236.144,10.0.31.2,ICMP,33178,6401,83,35773,131.38,ACK,Normal
192.168.69.208,10.0.110.232,HTTP,28018,80,27,37314,131.56,FIN,XSS
192.168.58.254,10.0.0.101,HTTP,43340,80,40,21360,183.48,-,XSS
192.168.21.207,10.0.144.129,ICMP,3767,6034,94,29234,257.62,ACK,Normal
192.168.143.28,10.0.164.74,HTTP,44377,80,22,13750,177.05,FIN,XSS
192.168.116.241,10.0.14.155,HTTP,4360,7176,110,38280,92.04,PSH,Normal
192.168.6.101,10.0.42.180,HTTP,10592,80,43,22704,25.25,FIN,XSS
192.168.235.201,10.0.199.88,ICMP,4531,2877,9,2124,100.01,FIN,Normal
192.168.126.200,10.0.85.81,UDP,32908,2941,102,19788,3.74,SYN,Normal
192.168.91.210,10.0.70.99,HTTP,36625,6981,174,48546,86.02,SYN,Normal
192.168.28.119,10.0.232.125,HTTP,54220,80,22,16126,265.04,PSH,XSS
192.168.91.138,10.0.151.17,HTTP,19787,80,28,36624,209.05,PSH,XSS
192.168.250.248,10.0.6.173,HTTP,27988,1901,187,28237,165.53,FIN,Normal
192.168.125.22,10.0.189.117,HTTP,61269,80,14,14910,212.31,FIN,XSS
192.168.29.62,10.0.176.11,HTTP,46677,80,41,21771,31.81,FIN,XSS
192.168.179.173,10.0.243.208,HTTP,50509,6578,55,3960,203.62,FIN,Normal
192.168.186.227,10.0.236.99,ICMP,28283,685,98,10094,64.81,PSH,Normal
192.168.168.93,10.0.77.148,HTTP,27536,80,11,10065,102.88,-,XSS
192.168.112.148,10.0.247.12,TCP,39859,423,22,4906,162.3,PSH,Normal
192.168.154.73,10.0.223.213,UDP,20349,5624,37,15096,241.41,ACK,Normal
192.168.249.57,10.0.18.188,UDP,31311,5868,25,5800,138.41,ACK,Normal
192.168.64.194,10.0.204.88,HTTP,44904,80,42,49266,295.57,ACK,XSS
192.168.80.148,10.0.108.206,HTTP,26345,80,8,5520,41.82,FIN,XSS
192.168.117.94,10.0.46.123,UDP,18137,6638,101,9797,297.54,SYN,Normal
192.168.111.54,10.0.63.165,HTTP,47791,1501,59,29441,139.83,SYN,Normal
192.168.252.76,10.0.158.123,ICMP,25181,6345,107,10807,191.59,ACK,Normal
192.168.68.7,10.0.112.188,HTTP,38832,80,9,8631,239.2,SYN,XSS
192.168.52.28,10.0.121.186,TCP,16319,963,47,17296,35.1,-,Normal
192.168.111.128,10.0.172.191,TCP,36485,2065,88,9064,50.46,SYN,Normal
192.168.178.87,10.0.201.200,ICMP,9845,1137,140,7140,267.42,PSH,Normal
192.168.151.107,10.0.136.34,HTTP,16224,80,19,10849,14.95,FIN,XSS
192.168.78.209,10.0.127.236,HTTP,12979,80,36,42480,35.21,SYN,XSS
192.168.253.82,10.0.100.251,UDP,13091,872,90,34020,27.16,FIN,Normal
192.168.139.98,10.0.87.29,HTTP,59515,3080,106,14840,172.03,-,Normal
192.168.210.209,10.0.28.100,TCP,62649,1280,170,83470,197.08,FIN,Normal
192.168.61.32,10.0.8.243,HTTP,47558,80,10,8990,241.06,SYN,XSS
192.168.32.32,10.0.62.47,HTTP,47334,80,5,5620,186.39,PSH,XSS
192.168.248.46,10.0.54.166,ICMP,20356,3428,176,85360,45.78,ACK,Normal
192.168.179.231,10.0.19.26,HTTP,61175,80,9,8775,192.02,FIN,XSS
192.168.100.98,10.0.63.114,TCP,12528,2415,156,60216,195.39,FIN,Normal
192.168.154.20,10.0.90.109,HTTP,46941,80,49,27097,295.82,-,XSS
192.168.191.179,10.0.87.225,HTTP,17228,80,41,46494,190.9,-,XSS
192.168.87.82,10.0.173.229,HTTP,27045,80,20,11320,207.72,ACK,XSS
192.168.37.65,10.0.138.124,HTTP,55603,80,32,30400,33.76,ACK,XSS
192.168.99.54,10.0.117.214,UDP,34853,7194,48,22560,280.67,-,Normal
192.168.154.7,10.0.108.34,HTTP,16559,80,42,32088,110.41,-,XSS
192.168.102.244,10.0.111.114,HTTP,32536,80,20,19920,45.51,-,XSS
192.168.179.155,10.0.196.205,HTTP,12021,80,23,11753,151.47,ACK,XSS
192.168.81.155,10.0.239.22,HTTP,9709,80,16,20400,127.72,PSH,XSS
192.168.185.103,10.0.163.205,HTTP,30709,80,26,13806,148.93,PSH,XSS
192.168.232.191,10.0.100.115,HTTP,42281,80,22,32098,156.46,ACK,XSS
192.168.251.188,10.0.187.201,HTTP,22309,80,19,28348,76.6,ACK,XSS
